advantage,n_random,n_fund,n_chart,n_mm_slow,n_mm_fast,time_dt,price_dt
1.0,8,4,9,1,4,43.0,-0.01553909225461943
1.0,8,4,9,2,4,27.0,0.010540030959181795
1.0,8,5,4,1,4,28.0,0.0313805249220035
1.0,8,5,4,2,4,38.0,0.023530231573128186
1.0,8,5,5,1,4,26.0,-0.04266721216850318
1.0,8,5,5,2,4,47.0,0.04566616980278128
1.0,8,5,6,1,4,41.0,0.06162180624983038
1.0,8,5,6,2,4,44.0,0.033760170085449445
1.0,8,5,7,1,4,34.0,0.02439116095225157
1.0,8,5,7,2,4,39.0,0.03613227260532552
1.0,8,5,8,1,4,44.0,0.051843998621397575
1.0,8,5,8,2,4,36.0,0.04535944403711123
1.0,8,5,9,1,4,25.0,-0.0114115174024831
1.0,8,5,9,2,4,18.0,-0.08999574089903614
1.0,8,6,4,1,4,23.0,0.015797250497668502
1.0,8,6,4,2,4,23.0,0.011851694532111533
1.0,8,6,5,1,4,35.0,0.046762199972510236
1.0,8,6,5,2,4,30.0,0.0280778261812632
1.0,8,6,6,1,4,33.0,0.04949216024036801
1.0,8,6,6,2,4,36.0,0.024524287295774227
1.0,8,6,7,1,4,28.0,-0.015739019871647567
1.0,8,6,7,2,4,27.0,0.03403761721937938
1.0,8,6,8,1,4,34.0,0.040337385474725256
1.0,8,6,8,2,4,23.0,0.0069824815319029275
1.0,8,6,9,1,4,34.0,-0.01482447871413038
1.0,8,6,9,2,4,27.0,0.01716023286982037
1.0,8,7,4,1,4,32.0,0.025879975370726366
1.0,8,7,4,2,4,32.0,0.025176996552210982
1.0,8,7,5,1,4,28.0,0.02476398363659047
1.0,8,7,5,2,4,30.0,0.03605331041581831
1.0,8,7,6,1,4,40.0,0.04110776596327121
1.0,8,7,6,2,4,30.0,0.049128831400141584
1.0,8,7,7,1,4,36.0,0.04167024829586013
1.0,8,7,7,2,4,23.0,0.007013034680398006
1.0,8,7,8,1,4,34.0,0.014404761981759615
1.0,8,7,8,2,4,43.0,0.032262659307565285
1.0,8,7,9,1,4,30.0,0.02401350966292105
1.0,8,7,9,2,4,43.0,0.0438814239835451
1.0,8,8,4,1,4,33.0,0.04313525941890672
1.0,8,8,4,2,4,38.0,0.02764037855833654
1.0,8,8,5,1,4,35.0,0.03698890571837493
1.0,8,8,5,2,4,44.0,0.044824379511236835
1.0,8,8,6,1,4,30.0,0.025178713766633453
1.0,8,8,6,2,4,39.0,0.033177956467485954
1.0,8,8,7,1,4,25.0,0.005616590620922139
1.0,8,8,7,2,4,36.0,0.03320638367900277
1.0,8,8,8,1,4,27.0,0.02823054410375491
1.0,8,8,8,2,4,32.0,0.0313326270664159
1.0,8,8,9,1,4,36.0,0.05701441624163812
1.0,8,8,9,2,4,30.0,0.037565701626675115
1.0,8,9,4,1,4,34.0,0.03507609170389433
1.0,8,9,4,2,4,26.0,0.029189006958143728
1.0,8,9,5,1,4,36.0,0.032056909867272755
1.0,8,9,5,2,4,37.0,0.03523754576579001
1.0,8,9,6,1,4,28.0,0.02330186420850238
1.0,8,9,6,2,4,44.0,0.03165449107849935
1.0,8,9,7,1,4,36.0,0.0333038725407959
1.0,8,9,7,2,4,34.0,0.03192316808130622
1.0,8,9,8,1,4,39.0,0.04568407730629361
1.0,8,9,8,2,4,38.0,0.044331819532493814
1.0,8,9,9,1,4,33.0,0.042197239769720056
1.0,8,9,9,2,4,22.0,0.0462302812352392
1.0,9,4,4,1,4,48.0,0.053757262402660794
1.0,9,4,4,2,4,56.0,0.020779522096108144
1.0,9,4,5,1,4,30.0,-0.030746126712144915
1.0,9,4,5,2,4,23.0,-0.04896674261302786
1.0,9,4,6,1,4,25.0,-0.09769215773251931
1.0,9,4,6,2,4,27.0,-0.06224632052237929
1.0,9,4,7,1,4,45.0,0.04647665885715675
1.0,9,4,7,2,4,51.0,0.04173312843535886
1.0,9,4,8,1,4,24.0,0.01722523514144977
1.0,9,4,8,2,4,33.0,0.03646627042964515
